FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
4,1,-23,21,20,-1,24,15,66,60,22,22,4,-18,5,26,-9,5,39,21,52,26,-98
8,4,-26,22,26,-5,35,20,70,69,35,23,16,-13,14,28,-10,-5,44,20,59,31,-89
10,5,-28,20,29,-7,40,24,68,77,42,22,26,-11,19,26,-12,-15,50,17,58,34,-81
11,4,-26,15,28,-8,40,26,57,81,43,24,28,-7,19,21,-14,-21,55,11,53,37,-75
10,2,-21,8,23,-11,37,23,38,82,38,25,22,0,18,14,-14,-22,57,5,44,39,-70
9,-2,-17,-2,13,-15,28,14,11,80,29,24,10,6,14,4,-12,-20,51,-3,30,35,-61
6,-6,-16,-14,1,-22,12,-1,-17,75,18,17,-9,11,7,-12,-9,-22,35,-14,9,25,-49
3,-10,-17,-28,-11,-32,-7,-16,-43,68,7,6,-30,13,-1,-30,-3,-29,14,-25,-17,9,-37
3,-11,-15,-34,-21,-38,-22,-27,-65,62,-1,-1,-44,13,-5,-45,4,-34,-6,-30,-38,-5,-35
5,-9,-10,-31,-27,-38,-29,-29,-79,61,-4,-2,-46,11,-5,-53,12,-32,-21,-29,-50,-16,-45
8,-5,0,-21,-28,-31,-29,-24,-85,62,-3,2,-41,9,-2,-53,20,-26,-30,-22,-54,-22,-64
12,1,13,-7,-26,-17,-20,-15,-81,65,-2,9,-30,12,3,-43,30,-14,-32,-10,-48,-25,-81
18,10,28,9,-21,3,-4,-2,-65,70,3,16,-13,23,14,-27,44,1,-26,7,-34,-26,-84
23,19,42,24,-14,27,11,11,-41,74,13,19,8,35,26,-10,59,17,-15,24,-16,-25,-71
26,25,49,35,-7,47,20,20,-14,74,26,15,28,42,34,3,71,30,-1,38,-1,-27,-46
28,32,53,42,1,64,24,27,9,70,35,7,46,43,37,14,76,41,16,51,9,-29,-14
31,39,58,49,11,77,28,37,27,67,40,3,63,41,39,26,75,50,34,64,19,-28,22
32,44,62,58,19,83,30,47,38,65,40,4,74,32,38,39,67,54,49,70,31,-23,55
29,45,60,66,21,80,30,54,44,62,34,6,76,18,34,48,54,49,56,66,40,-17,82
23,42,52,71,18,69,28,58,48,59,26,8,68,6,29,53,41,36,55,54,46,-9,103
17,38,42,72,14,54,26,61,53,60,21,13,55,-1,27,56,32,21,53,38,51,4,118
16,37,28,69,12,40,25,61,64,63,23,20,40,-1,31,58,30,6,53,25,58,19,129
19,38,13,62,14,30,24,57,77,66,31,28,26,1,37,57,31,-4,57,15,61,32,142
25,39,1,52,18,26,24,50,84,69,39,36,15,4,42,56,30,-8,60,10,60,41,161
28,36,-10,37,22,22,24,37,80,69,40,40,2,7,44,55,25,-9,57,6,53,44,184
25,27,-19,19,21,16,21,16,65,65,33,37,-14,7,37,49,13,-14,44,-3,44,37,199
14,10,-25,0,12,6,14,-13,41,55,19,28,-34,2,22,32,-3,-26,22,-23,34,20,195
-3,-12,-31,-16,-3,-8,5,-43,11,43,3,13,-55,-6,0,7,-18,-39,-6,-50,22,-3,164
