FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
-35,-45,-2,-50,14,-27,30,1,11,-70,-64,-49,5,-46,-42,-34,-60,-26,-60,0,-40,-4,-136
-23,-33,7,-36,22,-12,39,10,20,-55,-50,-40,8,-35,-30,-31,-49,-28,-55,-7,-40,-1,-113
-12,-21,15,-22,27,3,43,19,26,-39,-33,-29,10,-23,-18,-26,-36,-30,-48,-15,-39,1,-86
-3,-11,20,-10,28,17,41,23,26,-24,-17,-18,9,-12,-7,-21,-24,-32,-39,-25,-38,1,-54
3,-3,22,0,25,28,32,24,20,-10,-2,-6,6,-2,-1,-15,-14,-32,-29,-34,-34,-1,-16
8,2,24,9,20,35,19,23,13,3,13,6,3,6,4,-8,-5,-29,-17,-40,-28,-1,27
13,8,25,18,15,40,5,20,6,15,27,19,2,15,10,-1,6,-23,-4,-41,-19,-1,68
20,14,26,27,11,42,-7,16,1,28,39,32,2,23,17,7,18,-16,9,-37,-9,2,100
27,20,27,35,6,42,-16,13,-2,39,47,43,3,30,24,13,28,-7,20,-30,1,6,126
34,26,27,41,1,39,-22,10,-2,47,52,51,6,34,31,17,36,1,28,-21,10,11,154
38,30,27,45,-4,34,-27,7,-3,50,53,55,8,35,35,18,38,8,34,-11,17,15,190
39,32,25,44,-10,25,-31,2,-4,48,49,54,10,31,36,18,35,14,36,-3,22,18,230
36,31,21,38,-18,13,-37,-5,-8,40,40,47,10,24,33,17,26,18,34,2,24,18,269
28,25,14,26,-27,-2,-45,-15,-14,27,26,35,7,16,25,13,14,20,27,6,23,16,305
18,17,4,10,-38,-20,-55,-28,-24,11,9,18,1,7,15,8,0,20,17,9,19,11,339
7,8,-6,-7,-47,-38,-63,-42,-33,-5,-8,-1,-5,-1,4,2,-13,18,6,13,13,6,372
-3,-1,-16,-22,-53,-53,-66,-51,-39,-19,-24,-18,-10,-9,-6,-5,-24,16,-6,18,8,3,407
-10,-9,-23,-32,-53,-62,-60,-54,-38,-29,-37,-31,-10,-17,-15,-11,-33,14,-15,24,4,3,449
-14,-14,-25,-36,-46,-64,-46,-49,-30,-34,-45,-39,-5,-22,-20,-16,-39,13,-20,31,2,8,498
-15,-16,-23,-35,-35,-61,-28,-39,-16,-35,-49,-42,5,-25,-22,-19,-42,13,-23,37,3,14,552
-15,-17,-19,-32,-23,-54,-9,-28,-3,-35,-52,-43,15,-26,-21,-21,-43,13,-25,38,3,19,609
-17,-20,-16,-29,-13,-48,5,-19,6,-36,-54,-44,20,-26,-20,-22,-43,10,-28,34,1,20,665
-20,-23,-15,-30,-6,-44,11,-14,8,-37,-57,-48,19,-26,-19,-24,-44,5,-33,26,-6,16,715
-23,-27,-16,-32,-3,-41,11,-14,4,-39,-59,-53,11,-26,-21,-26,-44,-3,-39,14,-16,8,757
-26,-30,-17,-34,-1,-39,9,-16,-3,-40,-60,-57,0,-27,-22,-27,-42,-12,-45,1,-28,-3,789
-26,-31,-16,-34,1,-34,9,-15,-7,-39,-57,-58,-10,-26,-24,-28,-38,-21,-49,-11,-38,-13,810
-24,-30,-13,-30,5,-27,13,-11,-8,-36,-53,-56,-16,-24,-24,-27,-34,-28,-51,-21,-44,-19,824
-20,-27,-8,-25,9,-19,17,-5,-6,-32,-47,-51,-18,-21,-21,-27,-29,-32,-51,-28,-47,-23,834
-15,-23,-3,-18,13,-12,21,0,-4,-28,-42,-45,-17,-18,-18,-27,-24,-35,-50,-33,-47,-25,840
-11,-20,1,-12,14,-8,21,4,-4,-24,-39,-39,-15,-14,-13,-26,-21,-35,-47,-34,-44,-25,836
-8,-17,3,-9,13,-7,15,3,-6,-21,-37,-34,-13,-10,-9,-24,-17,-34,-43,-33,-40,-23,818
-5,-14,4,-6,8,-9,6,-1,-10,-19,-35,-30,-11,-6,-4,-22,-14,-30,-37,-29,-34,-21,785
-2,-11,3,-5,3,-14,-7,-8,-15,-16,-32,-27,-10,-2,-1,-18,-10,-25,-31,-24,-27,-18,736
1,-6,2,-3,-4,-18,-18,-16,-20,-13,-29,-23,-9,2,2,-14,-5,-19,-24,-18,-21,-15,673
5,-1,3,0,-8,-20,-25,-20,-21,-9,-23,-19,-7,5,4,-10,0,-12,-18,-10,-14,-10,599
9,5,6,5,-10,-19,-27,-21,-18,-4,-17,-12,-2,7,7,-7,4,-6,-12,-2,-8,-3,515
14,10,9,11,-10,-14,-25,-17,-12,1,-10,-3,6,6,9,-5,7,-1,-6,7,-2,5,422
19,15,14,18,-8,-7,-19,-10,-2,5,-3,7,16,5,11,-3,8,4,0,16,5,15,319
23,18,18,23,-5,-1,-11,-2,9,7,3,18,28,3,13,-1,8,9,5,25,13,26,208
24,18,20,25,-3,3,-3,4,20,7,6,27,39,0,13,0,6,14,9,32,20,37,92
21,14,18,23,-3,2,4,7,27,3,5,30,46,-4,9,0,1,16,10,35,24,43,-25
15,8,13,18,-3,-2,8,6,30,-3,1,26,48,-9,4,-2,-6,16,7,33,24,43,-136
7,0,7,10,-3,-8,12,4,29,-11,-6,18,45,-13,-3,-6,-13,13,1,28,20,39,-236
-1,-7,1,3,-1,-15,17,0,25,-19,-13,5,37,-17,-9,-10,-19,7,-8,21,12,31,-323
-7,-12,-4,-5,2,-20,20,-4,18,-25,-20,-9,27,-19,-14,-15,-25,1,-17,14,2,21,-399
-11,-16,-8,-12,4,-24,21,-9,9,-29,-26,-23,14,-20,-17,-19,-28,-6,-26,8,-9,10,-467
-12,-17,-10,-17,6,-27,19,-13,-2,-31,-30,-35,2,-20,-19,-21,-29,-12,-33,3,-19,-1,-528
-12,-17,-11,-21,6,-28,16,-17,-13,-32,-33,-46,-10,-20,-18,-23,-28,-16,-39,-1,-28,-11,-584
-11,-16,-10,-21,6,-27,11,-20,-22,-31,-35,-53,-21,-19,-17,-23,-25,-20,-43,-6,-35,-21,-630
-6,-12,-8,-19,6,-24,7,-22,-30,-28,-36,-58,-29,-18,-13,-23,-22,-24,-45,-13,-40,-29,-661
0,-6,-3,-13,8,-20,5,-22,-35,-25,-35,-61,-37,-15,-9,-23,-19,-29,-45,-21,-45,-37,-670
6,-1,2,-6,9,-16,2,-22,-38,-22,-34,-61,-43,-13,-5,-23,-18,-34,-46,-31,-49,-43,-660
11,3,7,0,11,-12,-1,-21,-41,-20,-32,-61,-48,-10,-3,-23,-19,-39,-46,-39,-52,-47,-641
13,5,10,3,11,-8,-6,-20,-42,-19,-30,-58,-50,-6,-1,-23,-20,-41,-45,-45,-53,-48,-623
14,5,12,4,10,-4,-11,-19,-42,-18,-27,-53,-50,-3,-1,-21,-20,-42,-43,-47,-52,-46,-612
13,4,14,4,8,0,-16,-16,-38,-18,-23,-45,-45,-1,-1,-18,-19,-40,-38,-45,-48,-40,-607
11,2,16,5,6,4,-19,-11,-32,-16,-17,-34,-36,-1,-1,-15,-18,-36,-31,-39,-40,-31,-606
