Time,FP1
0.0,13
0.00390625,8
0.0078125,2
0.01171875,-6
0.015625,-15
0.01953125,-19
0.0234375,-18
0.02734375,-13
0.03125,-7
0.03515625,0
0.0390625,8
0.04296875,12
0.046875,12
0.05078125,9
0.0546875,4
0.05859375,-4
0.0625,-13
0.06640625,-18
0.0703125,-18
0.07421875,-12
0.078125,-7
0.08203125,-7
0.0859375,-13
0.08984375,-21
0.09375,-27
0.09765625,-30
0.1015625,-29
0.10546875,-28
0.109375,-29
0.11328125,-31
0.1171875,-31
0.12109375,-24
0.125,-8
0.12890625,11
0.1328125,29
0.13671875,40
0.140625,43
0.14453125,42
0.1484375,41
0.15234375,42
0.15625,45
0.16015625,45
0.1640625,39
0.16796875,29
0.171875,19
0.17578125,11
0.1796875,5
0.18359375,2
0.1875,2
0.19140625,3
0.1953125,4
0.19921875,6
0.203125,9
0.20703125,13
0.2109375,15
0.21484375,15
0.21875,17
0.22265625,20
0.2265625,24
0.23046875,26
0.234375,25
0.23828125,16
0.2421875,0
0.24609375,-22
0.25,-44
0.25390625,-60
0.2578125,-70
0.26171875,-71
0.265625,-65
0.26953125,-54
0.2734375,-44
0.27734375,-36
0.28125,-31
0.28515625,-30
0.2890625,-30
0.29296875,-27
0.296875,-20
0.30078125,-9
0.3046875,-1
0.30859375,0
0.3125,-3
0.31640625,-6
0.3203125,-4
0.32421875,4
0.328125,19
0.33203125,36
0.3359375,51
0.33984375,60
0.34375,66
0.34765625,70
0.3515625,68
0.35546875,56
0.359375,37
0.36328125,18
0.3671875,6
0.37109375,3
0.375,8
0.37890625,20
0.3828125,30
0.38671875,27
0.390625,14
0.39453125,1
0.3984375,-2
0.40234375,3
0.40625,15
0.41015625,29
0.4140625,35
0.41796875,27
0.421875,9
0.42578125,-8
0.4296875,-21
0.43359375,-27
0.4375,-28
0.44140625,-22
0.4453125,-13
0.44921875,-3
0.453125,11
0.45703125,26
0.4609375,36
0.46484375,38
0.46875,30
0.47265625,21
0.4765625,14
0.48046875,9
0.484375,5
0.48828125,4
0.4921875,3
0.49609375,1
0.5,-4
0.50390625,-5
0.5078125,2
0.51171875,11
0.515625,17
0.51953125,19
0.5234375,18
0.52734375,11
0.53125,2
0.53515625,-8
0.5390625,-15
0.54296875,-19
0.546875,-26
0.55078125,-33
0.5546875,-35
0.55859375,-27
0.5625,-9
0.56640625,15
0.5703125,42
0.57421875,67
0.578125,81
0.58203125,82
0.5859375,72
0.58984375,55
0.59375,31
0.59765625,9
0.6015625,-7
0.60546875,-13
0.609375,-10
0.61328125,-4
0.6171875,2
0.62109375,6
0.625,5
0.62890625,0
0.6328125,-4
0.63671875,-6
0.640625,-5
0.64453125,-4
0.6484375,-2
0.65234375,3
0.65625,9
0.66015625,13
0.6640625,14
0.66796875,14
0.671875,14
0.67578125,15
0.6796875,15
0.68359375,14
0.6875,14
0.69140625,11
0.6953125,4
0.69921875,-6
0.703125,-17
0.70703125,-25
0.7109375,-33
0.71484375,-40
0.71875,-48
0.72265625,-52
0.7265625,-51
0.73046875,-46
0.734375,-36
0.73828125,-25
0.7421875,-15
0.74609375,-13
0.75,-16
0.75390625,-17
0.7578125,-11
0.76171875,0
0.765625,13
0.76953125,21
0.7734375,21
0.77734375,10
0.78125,-5
0.78515625,-17
0.7890625,-23
0.79296875,-29
0.796875,-36
0.80078125,-43
0.8046875,-48
0.80859375,-50
0.8125,-46
0.81640625,-36
0.8203125,-27
0.82421875,-25
0.828125,-27
0.83203125,-27
0.8359375,-22
0.83984375,-13
0.84375,-4
0.84765625,0
0.8515625,-2
0.85546875,-12
0.859375,-27
0.86328125,-40
0.8671875,-43
0.87109375,-40
0.875,-34
0.87890625,-29
0.8828125,-27
0.88671875,-29
0.890625,-33
0.89453125,-35
0.8984375,-31
0.90234375,-24
0.90625,-15
0.91015625,-6
0.9140625,2
0.91796875,9
0.921875,14
0.92578125,16
0.9296875,14
0.93359375,7
0.9375,-5
0.94140625,-15
0.9453125,-17
0.94921875,-15
0.953125,-13
0.95703125,-12
0.9609375,-11
0.96484375,-12
0.96875,-17
0.97265625,-21
0.9765625,-20
0.98046875,-14
0.984375,-8
0.98828125,-5
0.9921875,-3
0.99609375,-4
1.0,-5
1.00390625,-2
1.0078125,7
1.01171875,22
1.015625,34
1.01953125,37
1.0234375,32
1.02734375,24
1.03125,15
1.03515625,6
1.0390625,1
1.04296875,-1
1.046875,-7
1.05078125,-22
1.0546875,-38
1.05859375,-46
1.0625,-44
1.06640625,-37
1.0703125,-28
1.07421875,-16
1.078125,-5
1.08203125,-3
1.0859375,-9
1.08984375,-16
1.09375,-20
1.09765625,-24
1.1015625,-26
1.10546875,-25
1.109375,-21
1.11328125,-16
1.1171875,-9
1.12109375,-3
1.125,2
1.12890625,6
1.1328125,11
1.13671875,15
1.140625,13
1.14453125,6
1.1484375,-4
1.15234375,-15
1.15625,-25
1.16015625,-34
1.1640625,-39
1.16796875,-40
1.171875,-38
1.17578125,-36
1.1796875,-32
1.18359375,-26
1.1875,-18
1.19140625,-14
1.1953125,-17
1.19921875,-26
1.203125,-37
1.20703125,-47
1.2109375,-49
1.21484375,-41
1.21875,-26
1.22265625,-15
1.2265625,-9
1.23046875,-5
1.234375,2
1.23828125,15
1.2421875,34
1.24609375,55
1.25,72
1.25390625,75
1.2578125,59
1.26171875,32
1.265625,9
1.26953125,-4
1.2734375,-11
1.27734375,-16
1.28125,-23
1.28515625,-31
1.2890625,-42
1.29296875,-50
1.296875,-46
1.30078125,-29
1.3046875,-10
1.30859375,1
1.3125,3
1.31640625,0
1.3203125,-3
1.32421875,-5
1.328125,-4
1.33203125,-3
1.3359375,-7
