Time,C3
0.0,-103
0.00390625,-102
0.0078125,-113
0.01171875,-127
0.015625,-130
0.01953125,-122
0.0234375,-113
0.02734375,-108
0.03125,-106
0.03515625,-106
0.0390625,-107
0.04296875,-107
0.046875,-104
0.05078125,-100
0.0546875,-103
0.05859375,-111
0.0625,-119
0.06640625,-122
0.0703125,-119
0.07421875,-111
0.078125,-100
0.08203125,-88
0.0859375,-74
0.08984375,-58
0.09375,-39
0.09765625,-19
0.1015625,2
0.10546875,21
0.109375,30
0.11328125,29
0.1171875,19
0.12109375,3
0.125,-15
0.12890625,-34
0.1328125,-51
0.13671875,-63
0.140625,-73
0.14453125,-85
0.1484375,-92
0.15234375,-90
0.15625,-79
0.16015625,-65
0.1640625,-50
0.16796875,-35
0.171875,-24
0.17578125,-17
0.1796875,-5
0.18359375,16
0.1875,37
0.19140625,51
0.1953125,58
0.19921875,60
0.203125,57
0.20703125,54
0.2109375,58
0.21484375,69
0.21875,81
0.22265625,92
0.2265625,109
0.23046875,131
0.234375,155
0.23828125,173
0.2421875,185
0.24609375,190
0.25,192
0.25390625,192
0.2578125,198
0.26171875,214
0.265625,237
0.26953125,259
0.2734375,273
0.27734375,278
0.28125,273
0.28515625,258
0.2890625,237
0.29296875,214
0.296875,192
0.30078125,170
0.3046875,146
0.30859375,121
0.3125,101
0.31640625,87
0.3203125,79
0.32421875,68
0.328125,53
0.33203125,36
0.3359375,18
0.33984375,2
0.34375,-7
0.34765625,-2
0.3515625,11
0.35546875,26
0.359375,41
0.36328125,57
0.3671875,73
0.37109375,83
0.375,86
0.37890625,82
0.3828125,71
0.38671875,51
0.390625,21
0.39453125,-8
0.3984375,-29
0.40234375,-41
0.40625,-47
0.41015625,-41
0.4140625,-25
0.41796875,-4
0.421875,16
0.42578125,38
0.4296875,64
0.43359375,87
0.4375,100
0.44140625,106
0.4453125,107
0.44921875,104
0.453125,97
0.45703125,89
0.4609375,80
0.46484375,70
0.46875,57
0.47265625,43
0.4765625,35
0.48046875,31
0.484375,25
0.48828125,11
0.4921875,-11
0.49609375,-38
0.5,-65
0.50390625,-82
0.5078125,-82
0.51171875,-64
0.515625,-38
0.51953125,-15
0.5234375,0
0.52734375,7
0.53125,5
0.53515625,-6
0.5390625,-22
0.54296875,-34
0.546875,-41
0.55078125,-42
0.5546875,-39
0.55859375,-37
0.5625,-41
0.56640625,-51
0.5703125,-62
0.57421875,-66
0.578125,-58
0.58203125,-42
0.5859375,-25
0.58984375,-11
0.59375,3
0.59765625,24
0.6015625,55
0.60546875,90
0.609375,120
0.61328125,138
0.6171875,144
0.62109375,143
0.625,138
0.62890625,134
0.6328125,127
0.63671875,113
0.640625,87
0.64453125,54
0.6484375,27
0.65234375,13
0.65625,7
0.66015625,1
0.6640625,-6
0.66796875,-17
0.671875,-31
0.67578125,-43
0.6796875,-42
0.68359375,-27
0.6875,-4
0.69140625,22
0.6953125,46
0.69921875,67
0.703125,81
0.70703125,87
0.7109375,88
0.71484375,87
0.71875,88
0.72265625,90
0.7265625,88
0.73046875,77
0.734375,55
0.73828125,20
0.7421875,-23
0.74609375,-66
0.75,-99
0.75390625,-114
0.7578125,-114
0.76171875,-106
0.765625,-92
0.76953125,-74
0.7734375,-58
0.77734375,-47
0.78125,-33
0.78515625,-14
0.7890625,7
0.79296875,27
0.796875,46
0.80078125,62
0.8046875,70
0.80859375,67
0.8125,56
0.81640625,45
0.8203125,33
0.82421875,19
0.828125,5
0.83203125,-9
0.8359375,-24
0.83984375,-44
0.84375,-67
0.84765625,-88
0.8515625,-98
0.85546875,-96
0.859375,-85
0.86328125,-67
0.8671875,-47
0.87109375,-30
0.875,-20
0.87890625,-17
0.8828125,-18
0.88671875,-21
0.890625,-26
0.89453125,-34
0.8984375,-44
0.90234375,-52
0.90625,-58
0.91015625,-63
0.9140625,-70
0.91796875,-80
0.921875,-94
0.92578125,-110
0.9296875,-128
0.93359375,-143
0.9375,-153
0.94140625,-151
0.9453125,-135
0.94921875,-105
0.953125,-69
0.95703125,-31
0.9609375,8
0.96484375,44
0.96875,71
0.97265625,86
0.9765625,90
0.98046875,87
0.984375,80
0.98828125,69
0.9921875,60
0.99609375,53
1.0,42
1.00390625,23
1.0078125,-1
1.01171875,-25
1.015625,-41
1.01953125,-46
1.0234375,-37
1.02734375,-19
1.03125,3
1.03515625,23
1.0390625,41
1.04296875,51
1.046875,58
1.05078125,64
1.0546875,69
1.05859375,65
1.0625,53
1.06640625,36
1.0703125,22
1.07421875,14
1.078125,13
1.08203125,18
1.0859375,16
1.08984375,1
1.09375,-24
1.09765625,-49
1.1015625,-66
1.10546875,-72
1.109375,-64
1.11328125,-45
1.1171875,-23
1.12109375,-1
1.125,21
1.12890625,42
1.1328125,58
1.13671875,64
1.140625,60
1.14453125,52
1.1484375,43
1.15234375,34
1.15625,22
1.16015625,11
1.1640625,0
1.16796875,-13
1.171875,-33
1.17578125,-53
1.1796875,-69
1.18359375,-81
1.1875,-88
1.19140625,-88
1.1953125,-80
1.19921875,-71
1.203125,-65
1.20703125,-55
1.2109375,-43
1.21484375,-30
1.21875,-16
1.22265625,-2
1.2265625,10
1.23046875,15
1.234375,20
1.23828125,31
1.2421875,45
1.24609375,56
1.25,62
1.25390625,66
1.2578125,67
1.26171875,62
1.265625,49
1.26953125,32
1.2734375,11
1.27734375,-13
1.28125,-35
1.28515625,-50
1.2890625,-60
1.29296875,-67
1.296875,-71
1.30078125,-73
1.3046875,-75
1.30859375,-74
1.3125,-69
1.31640625,-59
1.3203125,-45
1.32421875,-23
1.328125,5
1.33203125,30
1.3359375,43
1.33984375,42
1.34375,31
1.34765625,12
1.3515625,-3
1.35546875,-6
1.359375,3
1.36328125,14
1.3671875,23
1.37109375,25
1.375,21
1.37890625,10
1.3828125,-2
1.38671875,-11
1.390625,-16
1.39453125,-20
1.3984375,-23
1.40234375,-24
1.40625,-23
1.41015625,-25
1.4140625,-37
1.41796875,-55
1.421875,-71
1.42578125,-81
1.4296875,-84
1.43359375,-76
1.4375,-60
1.44140625,-43
1.4453125,-37
1.44921875,-42
1.453125,-56
1.45703125,-73
1.4609375,-89
1.46484375,-99
1.46875,-98
1.47265625,-78
1.4765625,-45
1.48046875,-13
1.484375,7
1.48828125,16
1.4921875,15
1.49609375,9
1.5,2
1.50390625,1
1.5078125,8
1.51171875,20
1.515625,31
1.51953125,42
1.5234375,50
1.52734375,47
1.53125,27
1.53515625,-2
1.5390625,-29
1.54296875,-43
1.546875,-43
1.55078125,-33
1.5546875,-19
1.55859375,-9
1.5625,-7
1.56640625,-5
1.5703125,4
1.57421875,21
1.578125,42
1.58203125,57
1.5859375,65
1.58984375,63
1.59375,55
1.59765625,46
1.6015625,43
1.60546875,49
1.609375,59
1.61328125,66
1.6171875,69
1.62109375,67
1.625,60
1.62890625,49
1.6328125,39
1.63671875,38
1.640625,45
1.64453125,53
1.6484375,60
1.65234375,65
1.65625,60
1.66015625,46
1.6640625,30
1.66796875,21
1.671875,21
1.67578125,25
1.6796875,32
1.68359375,43
1.6875,55
1.69140625,67
1.6953125,74
1.69921875,76
1.703125,71
1.70703125,62
1.7109375,52
1.71484375,48
1.71875,50
1.72265625,51
1.7265625,44
1.73046875,29
1.734375,10
1.73828125,-4
1.7421875,-9
1.74609375,-5
1.75,6
1.75390625,17
1.7578125,20
1.76171875,17
1.765625,11
1.76953125,5
1.7734375,3
1.77734375,0
1.78125,-2
1.78515625,-7
1.7890625,-13
1.79296875,-20
1.796875,-23
1.80078125,-22
1.8046875,-18
1.80859375,-18
1.8125,-27
1.81640625,-43
1.8203125,-57
1.82421875,-63
1.828125,-55
1.83203125,-33
1.8359375,-5
1.83984375,18
1.84375,24
1.84765625,16
1.8515625,-2
1.85546875,-20
1.859375,-29
1.86328125,-25
1.8671875,-17
1.87109375,-15
1.875,-21
1.87890625,-33
1.8828125,-45
1.88671875,-50
1.890625,-43
1.89453125,-27
1.8984375,-12
1.90234375,-6
1.90625,-12
1.91015625,-20
1.9140625,-27
1.91796875,-30
1.921875,-26
1.92578125,-12
1.9296875,9
1.93359375,31
1.9375,47
1.94140625,54
1.9453125,56
1.94921875,53
1.953125,49
1.95703125,46
1.9609375,44
1.96484375,43
1.96875,40
1.97265625,32
1.9765625,22
1.98046875,11
1.984375,-5
1.98828125,-28
1.9921875,-55
1.99609375,-82
2.0,-100
2.00390625,-105
2.0078125,-97
2.01171875,-82
2.015625,-64
2.01953125,-48
2.0234375,-33
2.02734375,-17
2.03125,3
2.03515625,28
2.0390625,49
2.04296875,56
2.046875,44
2.05078125,16
2.0546875,-14
2.05859375,-39
2.0625,-52
2.06640625,-53
2.0703125,-47
2.07421875,-46
2.078125,-52
2.08203125,-53
2.0859375,-44
2.08984375,-26
2.09375,-6
2.09765625,13
2.1015625,24
2.10546875,25
2.109375,18
2.11328125,15
2.1171875,21
2.12109375,27
2.125,24
2.12890625,15
2.1328125,5
2.13671875,-6
2.140625,-12
2.14453125,-8
2.1484375,5
2.15234375,19
2.15625,27
2.16015625,28
2.1640625,27
2.16796875,23
2.171875,17
2.17578125,8
2.1796875,0
2.18359375,-6
2.1875,-7
2.19140625,-1
2.1953125,12
2.19921875,26
2.203125,41
2.20703125,57
2.2109375,68
2.21484375,72
2.21875,72
2.22265625,70
2.2265625,59
2.23046875,40
2.234375,20
2.23828125,5
2.2421875,-8
2.24609375,-19
2.25,-29
2.25390625,-36
2.2578125,-43
2.26171875,-51
