Time,P3
0.0,9
0.00390625,-3
0.0078125,-8
0.01171875,-10
0.015625,-14
0.01953125,-25
0.0234375,-39
0.02734375,-48
0.03125,-53
0.03515625,-54
0.0390625,-50
0.04296875,-44
0.046875,-38
0.05078125,-31
0.0546875,-20
0.05859375,-6
0.0625,6
0.06640625,11
0.0703125,9
0.07421875,6
0.078125,3
0.08203125,-1
0.0859375,-2
0.08984375,-1
0.09375,1
0.09765625,2
0.1015625,3
0.10546875,1
0.109375,-8
0.11328125,-23
0.1171875,-41
0.12109375,-55
0.125,-62
0.12890625,-58
0.1328125,-44
0.13671875,-24
0.140625,-1
0.14453125,22
0.1484375,41
0.15234375,51
0.15625,51
0.16015625,42
0.1640625,28
0.16796875,9
0.171875,-9
0.17578125,-24
0.1796875,-39
0.18359375,-54
0.1875,-67
0.19140625,-76
0.1953125,-80
0.19921875,-76
0.203125,-61
0.20703125,-39
0.2109375,-17
0.21484375,0
0.21875,7
0.22265625,2
0.2265625,-13
0.23046875,-25
0.234375,-29
0.23828125,-25
0.2421875,-17
0.24609375,-7
0.25,1
0.25390625,1
0.2578125,-3
0.26171875,-7
0.265625,-9
0.26953125,-14
0.2734375,-21
0.27734375,-27
0.28125,-28
0.28515625,-25
0.2890625,-22
0.29296875,-20
0.296875,-24
0.30078125,-32
0.3046875,-41
0.30859375,-47
0.3125,-45
0.31640625,-35
0.3203125,-22
0.32421875,-10
0.328125,-4
0.33203125,-3
0.3359375,-6
0.33984375,-8
0.34375,-7
0.34765625,-4
0.3515625,2
0.35546875,10
0.359375,14
0.36328125,7
0.3671875,-7
0.37109375,-22
0.375,-32
0.37890625,-39
0.3828125,-41
0.38671875,-37
0.390625,-32
0.39453125,-23
0.3984375,-9
0.40234375,13
0.40625,37
0.41015625,58
0.4140625,70
0.41796875,69
0.421875,57
0.42578125,40
0.4296875,18
0.43359375,-9
0.4375,-39
0.44140625,-67
0.4453125,-86
0.44921875,-92
0.453125,-85
0.45703125,-73
0.4609375,-61
0.46484375,-53
0.46875,-44
0.47265625,-33
0.4765625,-18
0.48046875,1
0.484375,20
0.48828125,35
0.4921875,44
0.49609375,46
0.5,42
0.50390625,31
0.5078125,12
0.51171875,-9
0.515625,-24
0.51953125,-32
0.5234375,-37
0.52734375,-39
0.53125,-39
0.53515625,-38
0.5390625,-38
0.54296875,-38
0.546875,-37
0.55078125,-36
0.5546875,-36
0.55859375,-37
0.5625,-34
0.56640625,-23
0.5703125,-7
0.57421875,10
0.578125,26
0.58203125,40
0.5859375,48
0.58984375,46
0.59375,39
0.59765625,32
0.6015625,26
0.60546875,21
0.609375,14
0.61328125,5
0.6171875,-11
0.62109375,-31
0.625,-50
0.62890625,-61
0.6328125,-62
0.63671875,-54
0.640625,-39
0.64453125,-26
0.6484375,-17
0.65234375,-14
0.65625,-14
0.66015625,-14
0.6640625,-12
0.66796875,-6
0.671875,0
0.67578125,4
0.6796875,6
0.68359375,6
0.6875,0
0.69140625,-12
0.6953125,-27
0.69921875,-41
0.703125,-57
0.70703125,-72
0.7109375,-83
0.71484375,-88
0.71875,-93
0.72265625,-97
0.7265625,-96
0.73046875,-87
0.734375,-75
0.73828125,-67
0.7421875,-58
0.74609375,-47
0.75,-36
0.75390625,-27
0.7578125,-19
0.76171875,-12
0.765625,-6
0.76953125,-5
0.7734375,-8
0.77734375,-12
0.78125,-19
0.78515625,-27
0.7890625,-34
0.79296875,-35
0.796875,-38
0.80078125,-49
0.8046875,-70
0.80859375,-94
0.8125,-117
0.81640625,-132
0.8203125,-132
0.82421875,-119
0.828125,-102
0.83203125,-86
0.8359375,-70
0.83984375,-51
0.84375,-32
0.84765625,-14
0.8515625,1
0.85546875,9
0.859375,10
0.86328125,5
0.8671875,-4
0.87109375,-13
0.875,-22
0.87890625,-27
0.8828125,-30
0.88671875,-32
0.890625,-34
0.89453125,-42
0.8984375,-55
0.90234375,-68
0.90625,-75
0.91015625,-74
0.9140625,-62
0.91796875,-42
0.921875,-20
0.92578125,-2
0.9296875,14
0.93359375,33
0.9375,55
0.94140625,77
0.9453125,94
0.94921875,100
0.953125,86
0.95703125,56
0.9609375,23
0.96484375,-2
0.96875,-16
0.97265625,-23
0.9765625,-25
0.98046875,-29
0.984375,-37
0.98828125,-46
0.9921875,-52
0.99609375,-53
1.0,-52
1.00390625,-48
1.0078125,-41
1.01171875,-29
1.015625,-15
1.01953125,2
1.0234375,19
1.02734375,34
1.03125,41
1.03515625,42
1.0390625,35
1.04296875,25
1.046875,12
1.05078125,2
1.0546875,-3
1.05859375,-3
1.0625,-4
1.06640625,-10
1.0703125,-22
1.07421875,-36
1.078125,-47
1.08203125,-52
1.0859375,-51
1.08984375,-46
1.09375,-39
1.09765625,-33
1.1015625,-28
1.10546875,-21
1.109375,-10
1.11328125,5
1.1171875,22
1.12109375,40
1.125,55
1.12890625,62
1.1328125,58
1.13671875,46
1.140625,32
1.14453125,21
1.1484375,15
1.15234375,14
1.15625,16
1.16015625,16
1.1640625,12
1.16796875,8
1.171875,4
1.17578125,1
1.1796875,-1
1.18359375,0
1.1875,9
1.19140625,27
1.1953125,52
1.19921875,76
1.203125,88
1.20703125,83
1.2109375,63
1.21484375,36
1.21875,13
1.22265625,-2
1.2265625,-8
1.23046875,-6
1.234375,0
1.23828125,4
1.2421875,4
1.24609375,3
1.25,2
1.25390625,-3
1.2578125,-10
1.26171875,-14
1.265625,-16
1.26953125,-18
1.2734375,-17
1.27734375,-12
1.28125,-1
1.28515625,10
1.2890625,20
1.29296875,31
1.296875,40
1.30078125,45
