Time,OZ
0.0,-51
0.00390625,-46
0.0078125,-47
0.01171875,-47
0.015625,-43
0.01953125,-36
0.0234375,-25
0.02734375,-7
0.03125,16
0.03515625,35
0.0390625,46
0.04296875,53
0.046875,56
0.05078125,52
0.0546875,43
0.05859375,37
0.0625,43
0.06640625,53
0.0703125,59
0.07421875,60
0.078125,52
0.08203125,33
0.0859375,4
0.08984375,-21
0.09375,-34
0.09765625,-37
0.1015625,-36
0.10546875,-30
0.109375,-18
0.11328125,-6
0.1171875,2
0.12109375,5
0.125,6
0.12890625,5
0.1328125,2
0.13671875,2
0.140625,8
0.14453125,20
0.1484375,34
0.15234375,39
0.15625,35
0.16015625,22
0.1640625,5
0.16796875,-15
0.171875,-30
0.17578125,-39
0.1796875,-47
0.18359375,-63
0.1875,-83
0.19140625,-99
0.1953125,-102
0.19921875,-91
0.203125,-69
0.20703125,-40
0.2109375,-11
0.21484375,12
0.21875,30
0.22265625,47
0.2265625,62
0.23046875,70
0.234375,68
0.23828125,55
0.2421875,38
0.24609375,22
0.25,14
0.25390625,11
0.2578125,6
0.26171875,-6
0.265625,-28
0.26953125,-57
0.2734375,-82
0.27734375,-95
0.28125,-93
0.28515625,-79
0.2890625,-58
0.29296875,-38
0.296875,-19
0.30078125,-2
0.3046875,13
0.30859375,25
0.3125,30
0.31640625,28
0.3203125,20
0.32421875,6
0.328125,-7
0.33203125,-14
0.3359375,-14
0.33984375,-11
0.34375,-8
0.34765625,-8
0.3515625,-11
0.35546875,-17
0.359375,-20
0.36328125,-21
0.3671875,-23
0.37109375,-27
0.375,-32
0.37890625,-36
0.3828125,-35
0.38671875,-24
0.390625,-5
0.39453125,13
0.3984375,21
0.40234375,19
0.40625,15
0.41015625,10
0.4140625,6
0.41796875,4
0.421875,3
0.42578125,-1
0.4296875,-12
0.43359375,-27
0.4375,-38
0.44140625,-43
0.4453125,-45
0.44921875,-48
0.453125,-53
0.45703125,-58
0.4609375,-64
0.46484375,-64
0.46875,-56
0.47265625,-39
0.4765625,-21
0.48046875,-8
0.484375,-2
0.48828125,2
0.4921875,13
0.49609375,32
0.5,54
0.50390625,72
0.5078125,78
0.51171875,67
0.515625,41
0.51953125,16
0.5234375,0
0.52734375,-8
0.53125,-10
0.53515625,-8
0.5390625,-3
0.54296875,1
0.546875,6
0.55078125,15
0.5546875,25
0.55859375,33
0.5625,36
0.56640625,33
0.5703125,27
0.57421875,21
0.578125,18
0.58203125,18
0.5859375,22
0.58984375,25
0.59375,20
0.59765625,8
0.6015625,-4
0.60546875,-8
0.609375,-2
0.61328125,12
0.6171875,26
0.62109375,29
0.625,20
0.62890625,3
0.6328125,-12
0.63671875,-21
0.640625,-20
0.64453125,-12
0.6484375,1
0.65234375,13
0.65625,26
0.66015625,38
0.6640625,47
0.66796875,51
0.671875,49
0.67578125,41
0.6796875,30
0.68359375,18
0.6875,8
0.69140625,3
0.6953125,4
0.69921875,10
0.703125,19
0.70703125,22
0.7109375,13
0.71484375,-6
0.71875,-26
0.72265625,-39
0.7265625,-39
0.73046875,-23
0.734375,0
0.73828125,17
0.7421875,20
0.74609375,12
0.75,-1
0.75390625,-15
0.7578125,-25
0.76171875,-28
0.765625,-24
0.76953125,-16
0.7734375,-1
0.77734375,19
0.78125,40
0.78515625,52
0.7890625,52
0.79296875,41
0.796875,27
0.80078125,12
0.8046875,2
0.80859375,-5
0.8125,-13
0.81640625,-19
0.8203125,-20
0.82421875,-13
0.828125,1
0.83203125,20
0.8359375,43
0.83984375,61
0.84375,68
0.84765625,70
0.8515625,72
0.85546875,74
0.859375,74
0.86328125,73
0.8671875,69
0.87109375,60
0.875,43
0.87890625,25
0.8828125,12
0.88671875,6
0.890625,-2
0.89453125,-13
0.8984375,-25
0.90234375,-34
0.90625,-39
0.91015625,-35
0.9140625,-21
0.91796875,-1
0.921875,15
0.92578125,21
0.9296875,22
0.93359375,23
0.9375,26
0.94140625,31
0.9453125,37
0.94921875,38
0.953125,30
0.95703125,18
0.9609375,11
0.96484375,11
0.96875,15
0.97265625,17
0.9765625,11
0.98046875,-3
0.984375,-23
0.98828125,-40
0.9921875,-47
0.99609375,-43
1.0,-38
1.00390625,-37
1.0078125,-38
1.01171875,-32
1.015625,-20
1.01953125,-3
1.0234375,14
1.02734375,23
1.03125,18
1.03515625,1
1.0390625,-20
1.04296875,-37
1.046875,-45
1.05078125,-46
1.0546875,-46
1.05859375,-51
1.0625,-57
1.06640625,-63
1.0703125,-64
1.07421875,-60
1.078125,-47
1.08203125,-32
1.0859375,-20
1.08984375,-15
1.09375,-15
1.09765625,-15
1.1015625,-13
1.10546875,-6
1.109375,8
1.11328125,28
1.1171875,51
1.12109375,67
1.125,75
1.12890625,72
1.1328125,58
1.13671875,30
1.140625,-1
1.14453125,-23
1.1484375,-34
1.15234375,-39
1.15625,-44
1.16015625,-50
1.1640625,-63
1.16796875,-82
1.171875,-96
1.17578125,-95
1.1796875,-80
1.18359375,-57
1.1875,-32
1.19140625,-9
1.1953125,4
1.19921875,7
1.203125,7
1.20703125,10
1.2109375,16
1.21484375,24
1.21875,31
1.22265625,33
1.2265625,29
1.23046875,20
1.234375,10
1.23828125,7
1.2421875,12
1.24609375,25
1.25,37
1.25390625,40
1.2578125,35
1.26171875,24
1.265625,14
1.26953125,9
1.2734375,16
1.27734375,32
1.28125,49
1.28515625,57
1.2890625,52
1.29296875,39
1.296875,23
1.30078125,2
1.3046875,-22
1.30859375,-41
1.3125,-53
1.31640625,-62
1.3203125,-69
1.32421875,-67
1.328125,-58
1.33203125,-48
1.3359375,-44
1.33984375,-40
1.34375,-37
1.34765625,-39
1.3515625,-44
1.35546875,-43
1.359375,-32
1.36328125,-18
1.3671875,-6
1.37109375,1
1.375,5
1.37890625,3
1.3828125,1
1.38671875,3
1.390625,8
1.39453125,9
1.3984375,-2
1.40234375,-19
1.40625,-33
1.41015625,-41
1.4140625,-41
1.41796875,-36
1.421875,-32
1.42578125,-33
1.4296875,-37
1.43359375,-36
1.4375,-27
1.44140625,-14
1.4453125,-2
1.44921875,0
1.453125,-8
1.45703125,-22
1.4609375,-37
1.46484375,-43
1.46875,-39
1.47265625,-26
1.4765625,-11
1.48046875,0
1.484375,7
1.48828125,10
1.4921875,10
1.49609375,5
1.5,-4
1.50390625,-17
1.5078125,-31
1.51171875,-45
1.515625,-55
1.51953125,-57
1.5234375,-51
1.52734375,-44
1.53125,-36
1.53515625,-24
1.5390625,-7
1.54296875,12
1.546875,31
1.55078125,47
1.5546875,55
1.55859375,56
1.5625,52
1.56640625,50
1.5703125,51
1.57421875,50
1.578125,44
1.58203125,31
1.5859375,12
1.58984375,-7
1.59375,-22
1.59765625,-31
1.6015625,-35
1.60546875,-35
1.609375,-37
1.61328125,-43
1.6171875,-47
1.62109375,-43
1.625,-32
1.62890625,-20
1.6328125,-8
1.63671875,0
1.640625,1
1.64453125,-3
1.6484375,-10
1.65234375,-12
1.65625,-8
1.66015625,-3
1.6640625,0
1.66796875,-2
1.671875,-8
1.67578125,-19
1.6796875,-34
1.68359375,-44
1.6875,-47
1.69140625,-47
1.6953125,-44
1.69921875,-38
1.703125,-25
1.70703125,-7
1.7109375,15
1.71484375,37
1.71875,53
1.72265625,58
1.7265625,50
1.73046875,37
1.734375,28
1.73828125,32
1.7421875,44
1.74609375,58
1.75,65
1.75390625,66
1.7578125,62
1.76171875,56
1.765625,49
1.76953125,44
1.7734375,37
1.77734375,21
1.78125,-2
1.78515625,-24
1.7890625,-35
1.79296875,-36
1.796875,-31
1.80078125,-22
1.8046875,-14
1.80859375,-9
1.8125,-8
1.81640625,-7
1.8203125,-7
1.82421875,-7
1.828125,-9
1.83203125,-11
1.8359375,-12
1.83984375,-8
1.84375,2
1.84765625,12
1.8515625,14
1.85546875,7
1.859375,-6
1.86328125,-25
1.8671875,-45
1.87109375,-59
1.875,-63
1.87890625,-55
1.8828125,-42
1.88671875,-25
1.890625,-5
1.89453125,16
1.8984375,34
1.90234375,47
1.90625,55
1.91015625,60
1.9140625,58
1.91796875,49
1.921875,31
1.92578125,10
1.9296875,-9
1.93359375,-27
1.9375,-44
1.94140625,-58
1.9453125,-69
1.94921875,-75
1.953125,-79
1.95703125,-80
1.9609375,-78
1.96484375,-73
1.96875,-66
1.97265625,-57
1.9765625,-44
1.98046875,-23
1.984375,3
1.98828125,28
1.9921875,46
1.99609375,61
2.0,71
2.00390625,70
2.0078125,56
2.01171875,33
2.015625,10
2.01953125,-11
2.0234375,-27
2.02734375,-31
2.03125,-25
2.03515625,-16
2.0390625,-11
2.04296875,-7
2.046875,-3
2.05078125,-3
2.0546875,-7
2.05859375,-13
2.0625,-14
2.06640625,-9
2.0703125,0
2.07421875,8
2.078125,11
2.08203125,10
2.0859375,5
2.08984375,4
2.09375,9
2.09765625,15
2.1015625,15
2.10546875,7
2.109375,-8
2.11328125,-23
2.1171875,-32
2.12109375,-29
2.125,-18
2.12890625,-5
2.1328125,2
2.13671875,3
2.140625,2
2.14453125,1
2.1484375,5
2.15234375,14
2.15625,27
2.16015625,42
2.1640625,54
2.16796875,63
2.171875,70
2.17578125,76
2.1796875,79
2.18359375,75
2.1875,62
2.19140625,43
2.1953125,25
2.19921875,14
2.203125,9
2.20703125,5
2.2109375,-1
2.21484375,-16
2.21875,-39
2.22265625,-62
2.2265625,-74
2.23046875,-72
2.234375,-62
2.23828125,-48
2.2421875,-33
2.24609375,-23
2.25,-19
2.25390625,-18
