Time,O2
0.0,-22
0.00390625,-22
0.0078125,-26
0.01171875,-33
0.015625,-39
0.01953125,-40
0.0234375,-35
0.02734375,-28
0.03125,-24
0.03515625,-30
0.0390625,-40
0.04296875,-46
0.046875,-41
0.05078125,-26
0.0546875,-6
0.05859375,10
0.0625,12
0.06640625,1
0.0703125,-12
0.07421875,-15
0.078125,-9
0.08203125,3
0.0859375,14
0.08984375,19
0.09375,16
0.09765625,8
0.1015625,-1
0.10546875,-14
0.109375,-32
0.11328125,-53
0.1171875,-75
0.12109375,-92
0.125,-100
0.12890625,-96
0.1328125,-83
0.13671875,-65
0.140625,-43
0.14453125,-21
0.1484375,-1
0.15234375,12
0.15625,18
0.16015625,16
0.1640625,12
0.16796875,6
0.171875,-2
0.17578125,-14
0.1796875,-26
0.18359375,-29
0.1875,-24
0.19140625,-19
0.1953125,-19
0.19921875,-21
0.203125,-24
0.20703125,-30
0.2109375,-36
0.21484375,-38
0.21875,-40
0.22265625,-48
0.2265625,-60
0.23046875,-64
0.234375,-57
0.23828125,-43
0.2421875,-27
0.24609375,-14
0.25,-6
0.25390625,-2
0.2578125,3
0.26171875,9
0.265625,15
0.26953125,20
0.2734375,21
0.27734375,16
0.28125,3
0.28515625,-14
0.2890625,-30
0.29296875,-38
0.296875,-38
0.30078125,-30
0.3046875,-18
0.30859375,-9
0.3125,-5
0.31640625,-10
0.3203125,-19
0.32421875,-28
0.328125,-34
0.33203125,-39
0.3359375,-42
0.33984375,-37
0.34375,-21
0.34765625,2
0.3515625,24
0.35546875,41
0.359375,48
0.36328125,43
0.3671875,27
0.37109375,11
0.375,1
0.37890625,-2
0.3828125,-1
0.38671875,-4
0.390625,-18
0.39453125,-40
0.3984375,-59
0.40234375,-65
0.40625,-57
0.41015625,-40
0.4140625,-19
0.41796875,-1
0.421875,9
0.42578125,14
0.4296875,19
0.43359375,27
0.4375,37
0.44140625,49
0.4453125,62
0.44921875,72
0.453125,76
0.45703125,72
0.4609375,57
0.46484375,36
0.46875,13
0.47265625,-6
0.4765625,-17
0.48046875,-23
0.484375,-28
0.48828125,-30
0.4921875,-24
0.49609375,-10
0.5,8
0.50390625,24
0.5078125,30
0.51171875,29
0.515625,23
0.51953125,17
0.5234375,19
0.52734375,31
0.53125,46
0.53515625,53
0.5390625,52
0.54296875,47
0.546875,43
0.55078125,41
0.5546875,42
0.55859375,43
0.5625,38
0.56640625,24
0.5703125,5
0.57421875,-8
0.578125,-9
0.58203125,0
0.5859375,15
0.58984375,29
0.59375,34
0.59765625,24
0.6015625,1
0.60546875,-22
0.609375,-34
0.61328125,-26
0.6171875,-7
0.62109375,10
0.625,15
0.62890625,10
0.6328125,-8
0.63671875,-29
0.640625,-42
0.64453125,-40
0.6484375,-30
0.65234375,-25
0.65625,-24
0.66015625,-23
0.6640625,-20
0.66796875,-15
0.671875,-7
0.67578125,6
0.6796875,19
0.68359375,28
0.6875,33
0.69140625,36
0.6953125,39
0.69921875,42
0.703125,45
0.70703125,43
0.7109375,33
0.71484375,16
0.71875,-4
0.72265625,-24
0.7265625,-39
0.73046875,-42
0.734375,-33
0.73828125,-17
0.7421875,-4
0.74609375,1
0.75,-1
0.75390625,-10
0.7578125,-23
0.76171875,-32
0.765625,-31
0.76953125,-17
0.7734375,6
0.77734375,30
0.78125,46
0.78515625,53
0.7890625,51
0.79296875,38
0.796875,19
0.80078125,3
0.8046875,-4
0.80859375,-7
0.8125,-8
0.81640625,-9
0.8203125,-11
0.82421875,-16
0.828125,-23
0.83203125,-31
0.8359375,-42
0.83984375,-56
0.84375,-69
0.84765625,-75
0.8515625,-68
0.85546875,-46
0.859375,-12
0.86328125,23
0.8671875,53
0.87109375,72
0.875,78
0.87890625,73
0.8828125,62
0.88671875,46
0.890625,30
0.89453125,13
