Time,PG2
0.0,13
0.00390625,9
0.0078125,4
0.01171875,-3
0.015625,-12
0.01953125,-23
0.0234375,-32
0.02734375,-37
0.03125,-41
0.03515625,-42
0.0390625,-41
0.04296875,-39
0.046875,-35
0.05078125,-29
0.0546875,-20
0.05859375,-8
0.0625,6
0.06640625,18
0.0703125,27
0.07421875,31
0.078125,31
0.08203125,28
0.0859375,24
0.08984375,21
0.09375,17
0.09765625,13
0.1015625,8
0.10546875,2
0.109375,-4
0.11328125,-9
0.1171875,-13
0.12109375,-15
0.125,-15
0.12890625,-15
0.1328125,-13
0.13671875,-12
0.140625,-13
0.14453125,-17
0.1484375,-23
0.15234375,-30
0.15625,-35
0.16015625,-37
0.1640625,-34
0.16796875,-28
0.171875,-19
0.17578125,-10
0.1796875,-2
0.18359375,3
0.1875,6
0.19140625,5
0.1953125,0
0.19921875,-8
0.203125,-19
0.20703125,-30
0.2109375,-41
0.21484375,-49
0.21875,-52
0.22265625,-47
0.2265625,-35
0.23046875,-20
0.234375,-5
0.23828125,5
0.2421875,7
0.24609375,1
0.25,-8
0.25390625,-15
0.2578125,-18
0.26171875,-17
0.265625,-12
0.26953125,-8
0.2734375,-4
0.27734375,0
0.28125,5
0.28515625,10
0.2890625,16
0.29296875,22
0.296875,29
0.30078125,34
0.3046875,37
0.30859375,38
0.3125,36
0.31640625,28
0.3203125,17
0.32421875,4
0.328125,-9
0.33203125,-22
0.3359375,-33
0.33984375,-43
0.34375,-51
0.34765625,-56
0.3515625,-57
0.35546875,-53
0.359375,-45
0.36328125,-34
0.3671875,-20
0.37109375,-7
0.375,6
0.37890625,18
0.3828125,26
0.38671875,32
0.390625,33
0.39453125,29
0.3984375,22
0.40234375,13
0.40625,6
0.41015625,1
0.4140625,-1
0.41796875,-1
0.421875,-2
0.42578125,-5
0.4296875,-10
0.43359375,-15
0.4375,-18
0.44140625,-17
0.4453125,-14
0.44921875,-6
0.453125,4
0.45703125,15
0.4609375,26
0.46484375,37
0.46875,46
0.47265625,54
0.4765625,58
0.48046875,59
0.484375,56
0.48828125,51
0.4921875,43
0.49609375,34
0.5,24
0.50390625,17
0.5078125,14
0.51171875,14
0.515625,16
0.51953125,17
0.5234375,15
0.52734375,10
0.53125,3
0.53515625,-6
0.5390625,-14
0.54296875,-19
0.546875,-22
0.55078125,-24
0.5546875,-25
0.55859375,-25
0.5625,-26
0.56640625,-25
0.5703125,-23
0.57421875,-20
0.578125,-17
0.58203125,-15
0.5859375,-17
0.58984375,-23
0.59375,-34
0.59765625,-47
0.6015625,-58
0.60546875,-65
0.609375,-66
0.61328125,-63
0.6171875,-57
0.62109375,-53
0.625,-54
0.62890625,-57
0.6328125,-59
0.63671875,-58
0.640625,-51
0.64453125,-38
0.6484375,-23
0.65234375,-10
0.65625,-3
0.66015625,-3
0.6640625,-9
0.66796875,-17
0.671875,-26
0.67578125,-33
0.6796875,-38
0.68359375,-40
0.6875,-40
0.69140625,-40
0.6953125,-42
0.69921875,-43
0.703125,-44
0.70703125,-45
0.7109375,-44
0.71484375,-42
0.71875,-39
0.72265625,-35
0.7265625,-29
0.73046875,-22
0.734375,-15
0.73828125,-9
0.7421875,-8
0.74609375,-11
0.75,-19
0.75390625,-29
0.7578125,-39
0.76171875,-47
0.765625,-53
0.76953125,-58
0.7734375,-63
0.77734375,-69
0.78125,-73
0.78515625,-75
0.7890625,-72
0.79296875,-66
0.796875,-57
0.80078125,-47
0.8046875,-38
0.80859375,-31
0.8125,-25
0.81640625,-18
0.8203125,-11
0.82421875,-6
0.828125,-3
0.83203125,-1
0.8359375,1
0.83984375,5
0.84375,12
0.84765625,22
0.8515625,32
0.85546875,40
0.859375,44
0.86328125,46
0.8671875,46
0.87109375,46
0.875,45
0.87890625,44
0.8828125,41
0.88671875,37
0.890625,31
0.89453125,23
0.8984375,13
0.90234375,3
0.90625,-7
0.91015625,-16
0.9140625,-24
0.91796875,-29
0.921875,-33
0.92578125,-34
0.9296875,-33
0.93359375,-30
0.9375,-24
0.94140625,-19
0.9453125,-15
0.94921875,-13
0.953125,-13
0.95703125,-13
0.9609375,-14
0.96484375,-15
0.96875,-17
0.97265625,-18
0.9765625,-19
0.98046875,-21
0.984375,-25
0.98828125,-28
0.9921875,-32
0.99609375,-33
1.0,-31
1.00390625,-28
1.0078125,-24
1.01171875,-23
1.015625,-25
1.01953125,-29
1.0234375,-32
1.02734375,-30
1.03125,-25
1.03515625,-16
1.0390625,-8
1.04296875,-1
1.046875,3
1.05078125,7
1.0546875,14
1.05859375,24
1.0625,37
1.06640625,50
1.0703125,60
1.07421875,66
1.078125,66
1.08203125,60
1.0859375,47
1.08984375,32
1.09375,16
1.09765625,2
1.1015625,-8
1.10546875,-12
1.109375,-13
1.11328125,-11
1.1171875,-8
1.12109375,-4
1.125,2
1.12890625,9
1.1328125,13
1.13671875,14
1.140625,10
1.14453125,3
1.1484375,-4
1.15234375,-10
1.15625,-10
1.16015625,-7
1.1640625,-2
1.16796875,5
1.171875,12
1.17578125,20
1.1796875,29
1.18359375,35
1.1875,36
1.19140625,29
1.1953125,16
1.19921875,-2
1.203125,-21
1.20703125,-37
1.2109375,-48
1.21484375,-51
1.21875,-48
1.22265625,-40
1.2265625,-29
1.23046875,-19
1.234375,-14
1.23828125,-12
1.2421875,-12
1.24609375,-11
1.25,-9
1.25390625,-6
1.2578125,0
1.26171875,6
1.265625,13
1.26953125,19
1.2734375,26
1.27734375,32
1.28125,36
1.28515625,39
1.2890625,39
1.29296875,36
1.296875,30
1.30078125,20
1.3046875,7
1.30859375,-8
1.3125,-21
1.31640625,-33
1.3203125,-43
1.32421875,-50
1.328125,-55
1.33203125,-60
1.3359375,-66
1.33984375,-72
1.34375,-78
1.34765625,-85
1.3515625,-94
1.35546875,-101
1.359375,-104
1.36328125,-101
1.3671875,-91
1.37109375,-75
1.375,-56
1.37890625,-39
1.3828125,-28
1.38671875,-22
1.390625,-17
1.39453125,-11
1.3984375,-3
1.40234375,7
1.40625,15
1.41015625,20
1.4140625,21
1.41796875,18
1.421875,13
1.42578125,7
1.4296875,1
1.43359375,-4
1.4375,-7
1.44140625,-8
1.4453125,-8
1.44921875,-6
1.453125,-5
1.45703125,-4
1.4609375,-2
1.46484375,-1
1.46875,-3
1.47265625,-7
1.4765625,-14
1.48046875,-20
1.484375,-25
1.48828125,-25
1.4921875,-20
1.49609375,-12
1.5,-3
1.50390625,4
1.5078125,8
1.51171875,6
1.515625,1
1.51953125,-6
1.5234375,-14
1.52734375,-19
1.53125,-22
1.53515625,-23
1.5390625,-23
1.54296875,-23
1.546875,-25
1.55078125,-27
1.5546875,-29
1.55859375,-30
1.5625,-28
1.56640625,-24
1.5703125,-17
1.57421875,-10
1.578125,-4
1.58203125,-1
1.5859375,-1
1.58984375,-3
1.59375,-4
1.59765625,-4
1.6015625,1
1.60546875,10
1.609375,23
1.61328125,37
1.6171875,50
1.62109375,59
1.625,62
1.62890625,58
1.6328125,48
1.63671875,35
1.640625,23
1.64453125,12
1.6484375,5
1.65234375,0
1.65625,-2
1.66015625,-5
1.6640625,-6
1.66796875,-6
1.671875,-5
1.67578125,-2
1.6796875,1
1.68359375,3
1.6875,5
1.69140625,8
1.6953125,12
1.69921875,17
1.703125,24
1.70703125,32
1.7109375,41
1.71484375,50
1.71875,58
1.72265625,65
1.7265625,70
1.73046875,72
1.734375,70
1.73828125,65
1.7421875,57
1.74609375,46
1.75,32
1.75390625,16
1.7578125,0
1.76171875,-14
1.765625,-23
1.76953125,-26
1.7734375,-24
1.77734375,-20
1.78125,-18
1.78515625,-18
1.7890625,-23
1.79296875,-32
1.796875,-40
1.80078125,-45
1.8046875,-46
1.80859375,-41
1.8125,-32
1.81640625,-18
1.8203125,-2
1.82421875,13
1.828125,25
1.83203125,33
1.8359375,37
1.83984375,35
1.84375,29
1.84765625,20
1.8515625,11
1.85546875,3
1.859375,-3
1.86328125,-6
1.8671875,-6
1.87109375,-5
1.875,-3
1.87890625,-3
1.8828125,-7
1.88671875,-12
1.890625,-17
1.89453125,-20
1.8984375,-18
1.90234375,-12
1.90625,-3
1.91015625,6
1.9140625,13
1.91796875,18
1.921875,21
1.92578125,23
1.9296875,22
1.93359375,17
1.9375,10
1.94140625,-1
1.9453125,-13
1.94921875,-26
1.953125,-35
1.95703125,-40
1.9609375,-39
1.96484375,-31
1.96875,-18
1.97265625,-2
1.9765625,13
1.98046875,24
1.984375,31
1.98828125,32
1.9921875,30
1.99609375,26
2.0,21
2.00390625,14
2.0078125,4
2.01171875,-9
2.015625,-21
2.01953125,-30
2.0234375,-34
2.02734375,-33
2.03125,-27
2.03515625,-19
2.0390625,-11
2.04296875,-4
2.046875,4
2.05078125,9
2.0546875,13
2.05859375,14
2.0625,12
2.06640625,8
2.0703125,2
2.07421875,-6
2.078125,-15
2.08203125,-21
2.0859375,-23
2.08984375,-20
2.09375,-12
2.09765625,-2
2.1015625,6
2.10546875,9
2.109375,8
2.11328125,6
2.1171875,4
2.12109375,4
2.125,5
2.12890625,7
2.1328125,11
2.13671875,14
2.140625,19
2.14453125,23
2.1484375,28
2.15234375,30
2.15625,28
2.16015625,24
2.1640625,19
2.16796875,14
2.171875,11
2.17578125,9
2.1796875,9
2.18359375,10
2.1875,9
2.19140625,5
2.1953125,0
2.19921875,-6
2.203125,-11
2.20703125,-13
2.2109375,-12
2.21484375,-8
2.21875,-2
2.22265625,4
2.2265625,9
2.23046875,12
2.234375,13
2.23828125,13
2.2421875,13
2.24609375,12
2.25,13
2.25390625,15
2.2578125,20
2.26171875,25
2.265625,31
2.26953125,36
2.2734375,42
2.27734375,48
2.28125,53
2.28515625,58
2.2890625,62
2.29296875,67
2.296875,69
2.30078125,68
2.3046875,62
2.30859375,51
