Time,F7
0.0,-5
0.00390625,2
0.0078125,11
0.01171875,20
0.015625,26
0.01953125,29
0.0234375,30
0.02734375,34
0.03125,41
0.03515625,52
0.0390625,63
0.04296875,67
0.046875,58
0.05078125,36
0.0546875,5
0.05859375,-26
0.0625,-53
0.06640625,-72
0.0703125,-84
0.07421875,-88
0.078125,-85
0.08203125,-77
0.0859375,-68
0.08984375,-58
0.09375,-46
0.09765625,-34
0.1015625,-26
0.10546875,-20
0.109375,-15
0.11328125,-11
0.1171875,-11
0.12109375,-9
0.125,0
0.12890625,11
0.1328125,18
0.13671875,16
0.140625,9
0.14453125,0
0.1484375,-10
0.15234375,-18
0.15625,-20
0.16015625,-18
0.1640625,-14
0.16796875,-11
0.171875,-4
0.17578125,9
0.1796875,21
0.18359375,26
0.1875,22
0.19140625,17
0.1953125,11
0.19921875,4
0.203125,-3
0.20703125,-11
0.2109375,-21
0.21484375,-30
0.21875,-31
0.22265625,-18
0.2265625,6
0.23046875,27
0.234375,33
0.23828125,22
0.2421875,0
0.24609375,-20
0.25,-27
0.25390625,-20
0.2578125,-1
0.26171875,20
0.265625,34
0.26953125,37
0.2734375,33
0.27734375,29
0.28125,25
0.28515625,23
0.2890625,23
0.29296875,27
0.296875,32
0.30078125,33
0.3046875,30
0.30859375,23
0.3125,16
0.31640625,7
0.3203125,-2
0.32421875,-13
0.328125,-25
0.33203125,-38
0.3359375,-46
0.33984375,-48
0.34375,-44
0.34765625,-39
0.3515625,-34
0.35546875,-26
0.359375,-14
0.36328125,4
0.3671875,31
0.37109375,58
0.375,78
0.37890625,91
0.3828125,99
0.38671875,103
0.390625,100
0.39453125,89
0.3984375,68
0.40234375,43
0.40625,18
0.41015625,-2
0.4140625,-18
0.41796875,-29
0.421875,-37
0.42578125,-45
0.4296875,-50
0.43359375,-51
0.4375,-49
0.44140625,-48
0.4453125,-52
0.44921875,-54
0.453125,-54
0.45703125,-51
0.4609375,-47
0.46484375,-41
0.46875,-36
0.47265625,-30
0.4765625,-21
0.48046875,-8
0.484375,4
0.48828125,11
0.4921875,10
0.49609375,1
0.5,-12
0.50390625,-20
0.5078125,-21
0.51171875,-17
0.515625,-10
0.51953125,1
0.5234375,12
0.52734375,21
0.53125,24
0.53515625,20
0.5390625,11
0.54296875,0
0.546875,-9
0.55078125,-9
0.5546875,5
0.55859375,27
0.5625,45
0.56640625,54
0.5703125,53
0.57421875,43
0.578125,26
0.58203125,6
0.5859375,-14
0.58984375,-31
0.59375,-46
0.59765625,-55
0.6015625,-53
0.60546875,-41
0.609375,-23
0.61328125,-5
0.6171875,6
0.62109375,7
0.625,3
0.62890625,0
0.6328125,9
0.63671875,27
0.640625,48
0.64453125,62
0.6484375,65
0.65234375,58
0.65625,47
0.66015625,36
0.6640625,27
0.66796875,16
0.671875,4
0.67578125,-8
0.6796875,-21
0.68359375,-29
0.6875,-30
0.69140625,-24
0.6953125,-16
0.69921875,-6
0.703125,6
0.70703125,15
0.7109375,18
0.71484375,12
0.71875,3
0.72265625,-5
0.7265625,-7
0.73046875,-6
0.734375,-1
0.73828125,8
0.7421875,21
0.74609375,39
0.75,62
0.75390625,81
0.7578125,86
0.76171875,73
0.765625,47
0.76953125,17
0.7734375,-8
0.77734375,-25
0.78125,-32
0.78515625,-34
0.7890625,-37
0.79296875,-44
0.796875,-52
0.80078125,-54
0.8046875,-47
0.80859375,-38
0.8125,-30
0.81640625,-21
0.8203125,-12
0.82421875,-7
0.828125,-8
0.83203125,-9
0.8359375,-8
0.83984375,-8
0.84375,-9
0.84765625,-9
0.8515625,-6
0.85546875,-5
0.859375,-12
0.86328125,-29
0.8671875,-55
0.87109375,-84
0.875,-107
0.87890625,-114
0.8828125,-108
0.88671875,-92
0.890625,-73
0.89453125,-56
0.8984375,-45
0.90234375,-36
0.90625,-22
0.91015625,-4
0.9140625,17
0.91796875,35
0.921875,49
0.92578125,60
0.9296875,70
0.93359375,83
0.9375,94
0.94140625,98
0.9453125,90
0.94921875,66
0.953125,23
0.95703125,-25
0.9609375,-60
0.96484375,-72
0.96875,-59
0.97265625,-27
0.9765625,8
0.98046875,30
0.984375,34
0.98828125,30
0.9921875,29
0.99609375,34
1.0,46
1.00390625,57
1.0078125,63
1.01171875,61
1.015625,58
1.01953125,59
1.0234375,63
1.02734375,65
1.03125,60
1.03515625,44
1.0390625,24
1.04296875,7
1.046875,-7
1.05078125,-16
1.0546875,-19
1.05859375,-13
1.0625,-2
1.06640625,12
1.0703125,25
1.07421875,35
1.078125,42
1.08203125,47
1.0859375,51
1.08984375,58
1.09375,70
1.09765625,84
1.1015625,93
1.10546875,92
1.109375,81
1.11328125,58
1.1171875,23
1.12109375,-11
1.125,-34
1.12890625,-40
1.1328125,-32
1.13671875,-18
1.140625,-11
1.14453125,-20
1.1484375,-40
1.15234375,-60
1.15625,-71
1.16015625,-68
1.1640625,-50
1.16796875,-22
1.171875,10
1.17578125,41
1.1796875,68
1.18359375,86
1.1875,91
1.19140625,81
1.1953125,63
1.19921875,43
1.203125,25
1.20703125,13
1.2109375,10
1.21484375,8
1.21875,1
1.22265625,-9
1.2265625,-16
1.23046875,-18
1.234375,-18
1.23828125,-17
1.2421875,-15
1.24609375,-10
1.25,0
1.25390625,11
1.2578125,17
1.26171875,21
1.265625,24
1.26953125,26
1.2734375,24
1.27734375,23
1.28125,25
1.28515625,24
1.2890625,18
1.29296875,9
1.296875,1
1.30078125,-11
1.3046875,-37
1.30859375,-77
