FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
-6,11,-17,11,21,20,-13,29,11,8,-8,10,7,2,-14,5,18,-2,27,11,6,5,181
-12,6,-28,12,27,18,-8,32,15,13,-10,2,0,-1,-14,1,18,-9,32,12,11,7,206
-15,1,-34,14,29,12,-4,30,15,14,-10,-5,-8,-4,-14,2,17,-13,36,11,11,6,210
-16,-5,-35,17,25,3,-1,24,10,10,-9,-12,-15,-8,-12,9,14,-15,35,7,6,4,190
-19,-13,-35,13,14,-11,-1,12,0,0,-9,-21,-26,-14,-12,14,6,-19,29,-3,-2,-2,147
-25,-23,-36,-1,-2,-26,-2,-4,-11,-10,-10,-33,-40,-23,-15,14,-6,-29,19,-18,-9,-10,89
-32,-32,-37,-19,-19,-39,-3,-18,-19,-14,-9,-43,-48,-30,-18,10,-18,-42,8,-28,-13,-17,29
-34,-35,-33,-33,-26,-41,1,-22,-22,-11,-2,-48,-42,-32,-19,5,-27,-51,0,-26,-9,-18,-24
-30,-33,-25,-38,-20,-33,7,-19,-16,-2,8,-45,-22,-29,-15,1,-30,-52,-6,-14,4,-11,-68
-23,-27,-14,-33,-5,-18,17,-10,-4,8,20,-33,6,-24,-10,-1,-28,-45,-10,1,20,1,-105
-13,-15,4,-18,16,2,29,4,12,14,34,-13,31,-17,1,3,-19,-27,-9,17,37,16,-135
2,1,27,6,39,27,43,27,33,18,51,13,51,-5,18,15,-5,-1,0,32,56,34,-147
17,16,45,30,56,49,56,49,54,21,68,36,59,8,34,28,7,23,12,43,75,50,-135
22,20,46,43,56,59,60,57,64,20,72,46,48,12,38,33,10,31,19,41,85,58,-94
11,10,28,40,38,52,50,48,60,13,61,38,22,4,26,27,1,21,19,29,81,52,3
-7,-5,2,27,13,33,31,27,42,5,39,17,-9,-10,6,16,-13,3,15,16,67,38,198
-25,-17,-22,9,-11,6,9,0,18,-1,14,-4,-32,-23,-12,5,-24,-13,9,6,49,20,503
-38,-25,-40,-8,-28,-23,-14,-29,-7,-4,-9,-17,-48,-31,-25,-3,-31,-25,4,-4,29,1,873
-40,-27,-46,-19,-37,-44,-32,-47,-25,-1,-24,-20,-58,-28,-28,-7,-32,-32,4,-13,11,-13,1215
-29,-19,-37,-19,-34,-49,-41,-46,-33,7,-25,-12,-61,-13,-19,-5,-26,-32,10,-20,1,-16,1414
-7,-4,-19,-10,-25,-39,-39,-31,-32,19,-11,2,-59,9,-4,-1,-14,-28,17,-27,0,-10,1357
12,10,-1,0,-16,-22,-28,-13,-27,28,11,16,-53,28,11,-1,-2,-25,16,-37,1,0,1003
25,20,11,6,-10,-3,-14,2,-23,30,28,26,-43,35,19,-7,6,-25,6,-49,1,7,422
31,24,16,6,-4,14,-1,12,-22,25,34,32,-27,34,18,-17,8,-22,-8,-56,-1,11,-235
34,27,16,6,2,29,9,20,-19,18,32,39,-3,30,14,-23,9,-11,-16,-53,-3,13,-803
36,27,15,7,8,39,16,23,-12,14,25,46,25,25,8,-22,9,7,-17,-41,-4,14,-1152
34,24,12,7,9,43,15,22,-3,11,12,51,49,18,0,-20,6,24,-13,-25,-7,13,-1227
26,17,10,4,1,39,5,20,4,9,-1,50,59,9,-11,-19,1,35,-7,-11,-13,6,-1065
15,11,14,0,-11,31,-6,20,9,5,-8,44,58,0,-17,-17,0,40,-2,-1,-19,-1,-771
6,11,24,-1,-22,25,-13,24,15,1,-6,38,53,-7,-15,-13,3,40,1,7,-19,-7,-457
1,14,33,-2,-29,22,-18,29,16,-3,-3,31,47,-13,-8,-13,9,33,1,13,-17,-14,-206
0,15,34,-4,-30,20,-24,32,13,-7,-4,19,38,-16,-1,-16,12,23,-1,17,-13,-20,-56
1,15,31,-4,-25,20,-29,32,7,-8,-6,4,29,-15,6,-17,14,14,-4,22,-9,-22,0
5,15,26,0,-14,23,-29,29,5,-5,-6,-12,25,-9,13,-10,18,10,-3,29,-2,-18,0
9,16,20,2,-3,22,-25,25,7,2,-6,-25,21,-2,21,0,23,8,3,36,6,-13,-14
8,15,12,-1,8,15,-19,22,13,8,-9,-35,15,1,26,9,23,9,10,38,14,-10,-17
2,12,2,-8,15,2,-10,21,18,10,-15,-43,4,-1,27,15,18,10,17,35,20,-6,-5
-6,6,-7,-17,18,-13,0,20,21,9,-21,-50,-8,-5,24,16,6,5,20,27,23,-2,18
-13,-2,-19,-24,19,-24,11,18,22,7,-27,-53,-20,-10,17,12,-9,-6,18,15,24,0,45
-16,-9,-30,-27,18,-32,20,13,21,7,-31,-53,-29,-13,9,4,-23,-20,13,3,23,1,71
-17,-12,-35,-25,13,-34,26,4,16,8,-27,-47,-33,-15,3,-3,-32,-32,7,-5,20,4,96
-15,-13,-33,-19,4,-32,27,-7,8,10,-19,-40,-31,-17,-1,-5,-34,-39,-1,-9,17,8,115
-13,-16,-27,-15,-9,-32,23,-18,-3,7,-12,-34,-26,-23,-8,-6,-33,-42,-12,-14,14,6,122
-13,-21,-25,-19,-27,-37,13,-29,-18,-1,-13,-32,-22,-34,-18,-11,-30,-41,-26,-25,10,-2,114
-13,-28,-25,-28,-49,-45,0,-37,-35,-10,-18,-33,-19,-44,-28,-17,-28,-36,-40,-38,5,-12,99
-13,-34,-26,-35,-72,-49,-9,-41,-48,-18,-22,-34,-14,-47,-35,-21,-26,-28,-49,-48,1,-19,89
-10,-35,-26,-37,-89,-44,-9,-39,-54,-21,-20,-30,-4,-41,-35,-19,-19,-20,-51,-51,-1,-21,90
-5,-29,-22,-30,-97,-31,-4,-30,-52,-19,-11,-18,12,-29,-28,-11,-8,-11,-44,-42,-1,-18,101
0,-16,-14,-18,-96,-11,3,-19,-46,-10,1,0,29,-15,-13,1,8,1,-31,-22,1,-7,119
3,1,0,-2,-86,9,10,-7,-33,1,12,20,48,-2,3,15,26,15,-13,6,8,5,141
5,16,16,13,-67,27,15,0,-13,11,20,38,63,11,17,29,42,32,3,34,16,14,166
6,26,27,23,-45,39,17,2,9,18,18,49,68,21,25,37,55,48,16,52,24,16,191
5,29,30,27,-24,45,15,0,28,17,8,52,63,26,27,41,61,62,25,57,28,13,210
5,27,27,30,-7,50,12,-1,42,11,-4,52,50,29,26,45,61,71,32,52,29,8,222
9,25,20,34,7,58,11,2,50,6,-9,52,34,34,28,53,60,75,38,45,30,7,227
17,25,11,41,18,66,10,8,50,6,-8,51,20,42,33,60,56,72,42,37,32,11,233
26,26,2,49,24,72,8,14,45,14,-2,49,10,50,40,65,49,62,46,31,36,20,244
35,28,-3,55,26,77,9,21,41,29,8,45,6,59,47,67,41,49,50,31,43,30,261
44,30,-3,59,24,78,14,28,44,46,19,41,8,67,54,66,33,36,52,36,49,38,279
49,30,2,60,20,75,20,32,52,58,28,37,9,69,57,63,24,27,53,38,52,42,296
50,27,10,57,14,67,24,34,59,60,30,35,8,60,54,58,14,19,51,32,49,43,312
46,21,18,49,7,54,24,32,59,54,28,33,2,43,46,54,5,10,44,20,38,40,326
38,13,22,34,-1,34,18,23,51,43,24,28,-11,23,33,46,-6,0,28,3,22,31,342
25,3,19,12,-7,7,7,6,32,30,20,16,-26,6,17,31,-17,-10,7,-17,4,16,366
12,-8,11,-13,-12,-20,-6,-12,6,20,16,3,-39,-6,0,12,-24,-20,-14,-34,-12,1,403
0,-19,-4,-37,-15,-44,-18,-28,-23,12,12,-11,-46,-12,-16,-7,-26,-26,-30,-43,-27,-9,448
-12,-31,-24,-58,-19,-63,-29,-42,-49,3,8,-20,-48,-15,-32,-26,-27,-29,-42,-46,-39,-17,491
-24,-41,-43,-73,-25,-73,-38,-54,-70,-8,0,-23,-50,-17,-44,-40,-25,-29,-49,-45,-43,-22,528
-33,-46,-54,-77,-31,-72,-43,-62,-82,-18,-9,-17,-50,-17,-49,-48,-20,-24,-47,-42,-42,-23,562
-37,-45,-56,-74,-37,-61,-43,-64,-86,-24,-15,-8,-47,-16,-47,-49,-13,-17,-39,-37,-36,-19,601
-36,-41,-52,-66,-42,-48,-41,-62,-79,-26,-16,-1,-42,-11,-42,-47,-7,-11,-33,-33,-30,-19,643
-30,-35,-42,-54,-45,-33,-40,-54,-65,-24,-12,4,-35,-4,-36,-43,-3,-7,-28,-32,-23,-23,687
-17,-22,-27,-35,-40,-16,-36,-36,-48,-18,-1,9,-23,7,-26,-34,5,0,-17,-26,-18,-24,732
2,-2,-7,-8,-27,4,-30,-6,-29,-6,15,17,-5,21,-10,-18,20,12,3,-12,-12,-17,777
19,19,10,20,-12,23,-23,26,-11,7,31,23,15,32,7,1,37,26,25,8,-7,-7,819
29,37,21,42,-2,38,-17,48,2,16,40,25,27,36,23,18,50,38,44,27,0,-1,852
31,49,28,56,4,50,-12,58,11,21,42,26,34,34,36,33,59,50,59,44,8,0,874
32,56,36,64,11,58,-3,63,21,25,43,28,42,32,48,46,65,59,72,61,18,1,884
32,57,44,67,20,60,8,65,35,29,46,31,51,30,58,58,67,65,80,73,30,4,881
32,53,51,67,33,55,19,68,51,31,48,36,58,27,64,68,65,67,84,80,42,8,864
32,46,56,66,48,47,28,71,65,31,48,39,63,23,66,77,59,64,84,83,53,15,825
31,37,57,64,61,35,36,74,73,32,45,39,61,20,65,84,53,56,81,81,60,26,764
28,28,49,57,65,21,41,69,72,30,37,29,50,16,60,83,46,42,71,69,61,35,679
20,17,31,41,59,6,40,52,61,23,23,9,31,9,49,72,37,24,51,47,54,37,575
9,4,6,19,49,-9,34,25,41,10,6,-17,7,3,33,53,25,3,24,16,42,29,455
-3,-10,-17,-7,38,-25,27,-2,19,-5,-8,-43,-13,-1,13,28,11,-17,-3,-15,29,14,325
-15,-23,-36,-31,28,-41,22,-24,-1,-21,-19,-62,-28,-6,-8,1,-5,-33,-25,-40,17,-4,190
-28,-36,-49,-51,18,-56,18,-37,-14,-38,-27,-70,-33,-13,-29,-21,-20,-42,-41,-57,8,-21,52
-39,-48,-56,-62,7,-65,21,-44,-19,-52,-31,-65,-30,-20,-45,-34,-34,-45,-48,-63,3,-33,-84
-47,-55,-54,-66,-3,-67,27,-46,-14,-60,-29,-49,-22,-24,-54,-37,-42,-39,-47,-59,1,-39,-212
-49,-57,-46,-64,-12,-62,36,-42,-1,-62,-21,-25,-11,-27,-54,-35,-43,-28,-42,-49,2,-36,-329
-44,-54,-34,-56,-17,-49,42,-34,14,-59,-8,0,0,-28,-46,-32,-37,-14,-36,-35,7,-26,-433
-34,-47,-22,-44,-19,-35,42,-25,26,-52,8,20,12,-27,-37,-29,-28,-1,-30,-18,16,-12,-520
-22,-39,-11,-30,-17,-24,35,-18,32,-42,22,34,23,-24,-30,-28,-20,12,-22,0,27,0,-587
-9,-29,0,-16,-12,-15,25,-10,31,-30,30,41,36,-18,-24,-23,-10,24,-12,19,37,12,-634
2,-16,10,-2,-3,-3,19,1,29,-16,34,44,51,-7,-14,-12,5,38,2,41,47,22,-663
8,-4,19,9,8,9,18,12,27,-2,34,42,65,4,-3,3,20,52,17,61,56,27,-674
8,4,24,12,17,17,16,22,27,7,30,34,70,10,5,13,31,60,28,71,60,24,-674
1,5,24,8,21,16,13,29,29,7,23,23,61,7,7,16,34,58,32,71,60,16,-671
-9,1,15,0,18,7,8,35,31,2,15,8,43,-4,0,11,30,47,31,63,58,9,-668
-16,-7,-1,-7,14,-7,1,36,31,-3,5,-7,21,-18,-14,1,20,32,25,51,52,5,-665
-19,-16,-19,-12,11,-20,-4,32,29,-6,-6,-20,1,-28,-30,-9,5,21,19,36,42,8,-664
-20,-24,-36,-14,13,-27,-5,25,25,-7,-17,-29,-14,-34,-43,-17,-8,13,14,21,28,15,-663
-19,-29,-48,-15,19,-26,-3,19,21,-5,-27,-34,-19,-35,-49,-21,-19,10,10,10,12,24,-659
-18,-32,-54,-17,28,-21,-1,15,19,0,-33,-37,-18,-36,-47,-25,-28,8,8,1,-4,29,-648
-17,-34,-52,-21,35,-18,0,10,21,5,-34,-36,-13,-40,-42,-30,-37,5,7,-12,-14,28,-634
-17,-37,-46,-27,37,-23,-3,4,24,8,-32,-33,-9,-45,-38,-36,-45,-4,5,-29,-21,23,-619
-17,-42,-37,-32,33,-32,-7,1,25,10,-25,-28,-3,-48,-38,-38,-52,-18,2,-42,-25,20,-603
-11,-42,-26,-34,30,-36,-6,3,27,13,-13,-20,7,-43,-39,-33,-55,-28,1,-45,-25,25,-585
-4,-38,-16,-34,29,-36,2,8,31,19,0,-9,18,-34,-40,-25,-50,-32,1,-41,-23,36,-567
1,-33,-7,-35,28,-30,14,13,32,22,10,4,23,-25,-42,-19,-42,-34,-3,-33,-22,47,-550
1,-29,-2,-38,24,-22,23,15,26,19,14,16,22,-19,-44,-17,-31,-35,-9,-22,-23,53,-536
0,-23,3,-39,22,-12,28,12,19,15,14,26,20,-13,-44,-19,-16,-29,-11,-11,-18,52,-526
0,-14,12,-39,25,-4,28,3,13,12,13,37,19,-5,-38,-24,1,-15,-4,-3,-8,43,-519
-3,-7,22,-42,27,-1,18,-8,4,7,9,42,17,4,-30,-32,15,1,6,1,-3,26,-514
-10,-8,25,-49,22,-4,-3,-22,-13,-7,2,37,13,11,-27,-42,17,14,13,3,-7,1,-510
-20,-16,20,-61,9,-13,-27,-33,-34,-25,-8,23,7,11,-30,-53,9,18,16,6,-19,-26,-504
-32,-27,9,-72,-8,-24,-45,-39,-52,-43,-17,6,-1,2,-37,-60,-3,16,12,7,-33,-49,-493
-42,-36,-2,-76,-28,-30,-54,-39,-63,-57,-20,-8,-10,-12,-43,-62,-13,11,4,10,-44,-61,-474
-48,-41,-10,-69,-42,-28,-55,-33,-62,-61,-18,-17,-17,-26,-46,-55,-16,7,-3,15,-43,-60,-452
-45,-36,-9,-50,-44,-13,-46,-21,-48,-53,-10,-16,-16,-34,-42,-39,-11,7,-1,25,-27,-50,-430
-32,-22,1,-25,-31,10,-30,-2,-24,-32,1,-6,-7,-32,-31,-17,1,15,13,37,-1,-35,-411
-15,-3,16,0,-8,33,-14,20,3,-7,11,8,6,-20,-14,7,15,26,32,49,27,-20,-394
1,14,29,18,15,48,-1,42,25,13,18,18,19,-4,4,26,26,32,49,57,50,-10,-382
14,27,37,30,33,53,10,61,39,26,22,23,29,11,19,41,32,34,59,61,65,-2,-376
22,35,41,40,44,49,22,72,47,31,23,24,37,22,32,51,37,33,64,61,75,8,-372
26,39,42,48,49,41,31,75,54,29,23,22,41,26,39,56,40,30,61,58,79,23,-367
26,41,40,50,51,30,41,70,62,25,20,14,39,24,41,55,36,22,50,53,77,41,-361
25,41,36,48,51,24,51,60,71,21,15,5,33,19,39,51,24,13,33,49,70,56,-353
23,36,30,40,52,19,60,45,76,19,7,-3,24,11,34,46,4,4,12,42,58,63,-342
14,25,19,23,47,11,59,25,72,14,-6,-14,10,0,24,36,-22,-6,-12,26,37,56,-329
-4,5,2,-4,33,-7,43,1,53,1,-26,-29,-11,-17,8,20,-49,-21,-39,0,8,36,-321
-27,-21,-16,-35,10,-34,17,-26,22,-18,-46,-46,-34,-35,-12,0,-71,-38,-64,-32,-23,10,-321
-48,-47,-34,-60,-19,-63,-12,-53,-14,-39,-64,-62,-56,-51,-32,-23,-85,-53,-80,-62,-49,-15,-325
-63,-66,-49,-80,-49,-87,-38,-76,-47,-59,-80,-76,-75,-63,-51,-46,-91,-64,-89,-86,-70,-35,-327
-67,-76,-59,-93,-73,-101,-55,-90,-71,-71,-93,-85,-89,-67,-62,-68,-91,-74,-93,-100,-84,-50,-324
-60,-74,-60,-91,-85,-101,-58,-93,-84,-71,-95,-84,-94,-59,-63,-80,-86,-77,-94,-97,-91,-57,-316
