FP1,FP2,PG1,PG2,F7,F3,F2,F4,F8,C3,C2,C4,P3,P4,P2,T3,T4,T5,T6,O1,OZ,O2,ECG
-90,-105,-48,-60,30,-21,52,-14,32,-68,-14,-15,18,-131,-115,-50,-83,-48,-5,-10,15,-6,-240
-94,-102,-47,-58,25,-16,50,-20,34,-74,-15,-14,17,-135,-110,-55,-92,-50,-12,-22,12,-3,-232
-100,-105,-49,-58,14,-17,41,-25,26,-84,-20,-14,12,-140,-111,-65,-100,-53,-26,-30,2,-3,-230
-104,-113,-54,-60,1,-24,28,-30,11,-94,-25,-18,6,-145,-116,-77,-101,-57,-44,-33,-14,-8,-236
-103,-121,-57,-63,-11,-31,14,-31,-7,-101,-23,-24,1,-148,-124,-86,-95,-61,-61,-32,-35,-17,-245
-99,-128,-61,-69,-20,-37,1,-29,-27,-102,-18,-32,-4,-149,-132,-90,-86,-63,-74,-30,-56,-29,-256
-95,-130,-65,-75,-23,-39,-7,-28,-46,-101,-10,-38,-7,-146,-139,-90,-79,-64,-81,-31,-74,-42,-263
-88,-125,-65,-78,-22,-33,-6,-25,-56,-96,-3,-36,-5,-134,-140,-84,-71,-60,-77,-35,-81,-48,-259
-76,-109,-57,-71,-13,-17,4,-16,-52,-83,5,-22,5,-113,-131,-70,-56,-46,-60,-36,-73,-41,-240
-59,-85,-39,-54,2,2,19,1,-38,-66,12,-1,18,-88,-114,-49,-35,-23,-34,-30,-54,-24,-214
-40,-60,-16,-31,17,18,32,20,-21,-49,17,17,32,-66,-92,-29,-12,2,-5,-18,-31,-4,-192
-22,-38,11,-7,26,31,42,34,-1,-32,22,28,43,-50,-70,-15,10,22,17,-3,-8,16,-178
-5,-22,40,15,30,44,47,43,21,-15,28,33,49,-38,-46,-5,29,36,30,11,13,33,-175
8,-8,64,34,32,55,50,49,41,1,35,35,49,-32,-26,4,40,44,34,23,33,45,-181
19,3,81,50,36,63,51,54,56,12,39,36,44,-28,-12,12,43,45,35,31,50,50,-191
25,11,91,62,41,68,51,58,63,20,39,37,38,-27,-5,21,42,44,38,35,64,50,-194
28,17,92,66,47,67,49,59,63,25,36,37,33,-28,-2,30,40,44,43,32,70,46,-184
26,20,83,63,53,58,41,56,56,26,28,35,30,-33,-3,37,36,44,48,28,67,40,-162
21,19,65,54,55,44,26,48,47,25,20,29,27,-37,-5,41,32,44,52,25,55,32,-133
17,19,42,44,52,29,10,35,41,25,14,19,25,-34,-7,43,28,43,52,22,40,27,-109
14,19,17,33,44,14,-6,19,37,27,12,8,22,-24,-6,40,24,41,46,18,26,25,-100
12,18,-10,21,31,-4,-16,3,29,29,9,-3,14,-12,-5,33,18,29,32,12,13,21,-110
7,13,-32,9,12,-25,-22,-13,16,29,5,-14,1,-5,-6,21,10,8,13,3,3,14,-135
1,4,-45,-2,-9,-45,-22,-28,-1,28,1,-24,-13,-5,-9,7,1,-16,-7,-8,-5,3,-165
-6,-6,-47,-11,-26,-58,-17,-41,-18,28,-2,-30,-27,-10,-13,-5,-7,-34,-26,-23,-13,-7,-189
-9,-14,-40,-16,-33,-63,-12,-50,-30,29,-3,-28,-37,-16,-15,-13,-12,-44,-40,-37,-20,-13,-197
-6,-18,-26,-15,-30,-58,-7,-52,-34,30,1,-22,-41,-19,-16,-15,-11,-45,-47,-44,-25,-13,-188
1,-18,-9,-11,-20,-46,-2,-45,-26,29,7,-14,-39,-16,-17,-12,-7,-37,-48,-44,-26,-8,-170
5,-18,2,-10,-12,-34,0,-35,-13,23,9,-8,-34,-13,-19,-12,-5,-28,-46,-39,-27,-3,-157
1,-25,1,-19,-14,-30,-2,-30,-5,6,1,-9,-30,-19,-28,-21,-9,-27,-46,-35,-30,-4,-157
-13,-38,-10,-34,-27,-32,-7,-30,-4,-18,-17,-15,-27,-35,-42,-36,-17,-32,-47,-32,-37,-11,-171
-29,-51,-22,-47,-42,-34,-14,-30,-7,-42,-35,-22,-23,-52,-55,-50,-27,-36,-45,-29,-43,-19,-189
-41,-56,-28,-53,-50,-31,-18,-25,-10,-54,-47,-26,-16,-61,-62,-56,-35,-33,-39,-25,-42,-20,-202
-44,-50,-26,-48,-44,-23,-19,-12,-10,-52,-50,-25,-7,-59,-61,-52,-37,-22,-28,-18,-31,-14,-206
-40,-38,-15,-31,-26,-13,-14,9,-6,-38,-44,-18,5,-48,-52,-41,-33,-6,-16,-8,-11,-5,-200
-30,-22,4,-7,0,-2,-5,36,6,-17,-33,-8,18,-31,-37,-24,-24,11,-6,5,14,6,-186
-16,-5,24,19,24,8,8,60,24,4,-19,4,33,-15,-21,-10,-14,25,3,19,38,18,-170
-1,9,39,40,42,19,23,76,44,19,-5,18,46,-5,-6,-1,-4,35,11,32,55,29,-156
13,20,48,56,56,34,37,86,61,28,11,33,56,-2,7,5,5,40,18,46,62,40,-147
29,35,54,69,68,52,49,95,75,33,31,46,65,2,21,17,14,45,30,63,63,53,-143
45,49,59,78,78,68,56,101,83,36,52,54,71,8,35,30,21,49,43,79,61,66,-141
56,56,60,80,82,75,56,101,82,35,66,51,71,13,45,37,24,48,50,85,55,71,-142
58,53,56,73,80,70,48,95,70,30,67,39,64,16,49,37,24,40,49,77,45,65,-146
56,47,52,63,73,57,37,82,54,26,56,24,53,21,51,33,26,29,42,59,34,52,-147
